t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1.0,0,0,0,0,0,0
2.6,2,0,0.1,15,14,0
4.4,3,0,0.1,0,0,0
6.5,0,0,0.1,0,0,1
8.3,1,0,0.0,0,0,3
10.1,0,0,0.2,0,0,0
12.0,5,0,0.3,0,0,0
14.1,1,0,0.2,0,0,5
16.4,13,0,1.5,0,0,1
18.7,5,0,2.7,1,0,11
21.1,6,0,3.9,0,0,9
23.5,15,98,3.2,0,0,13
26.2,19,0,6.9,0,0,9
28.7,13,0,4.8,1,0,3
31.0,0,0,0.6,0,0,0
32.6,0,0,0.0,0,0,0
34.2,0,0,0,0,0,0
35.7,0,0,0,0,0,0
