t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1.0,0,0,0,0,0,0
2.6,12,5,81.8,18,18,1
4.4,20,24,145.3,0,0,4
6.5,19,22,6.0,0,0,9
9.9,12,0,6.4,0,0,15
13.6,20,15,15.3,1,0,15
17.5,17,76,22.6,0,0,16
21.1,17,28,25.9,0,0,14
25.0,18,35,47.8,1,0,13
28.8,5,0,26.8,0,0,0
30.7,5,0,0.1,0,0,0
32.4,0,0,0.0,0,0,0
34.0,0,0,0,0,0,0
35.5,0,0,0,0,0,0
