ts,t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1789298582701,1.0,0,0,0,2,2,1
1789298584440,2.8,0,0,0.1,0,0,1
1789298586196,4.5,0,0,0.0,0,0,0
1789298587955,6.3,0,0,0.1,0,0,4
1789298589726,8.0,0,0,0.0,0,0,4
1789298591584,9.9,0,0,0.0,0,0,0
1789298593539,11.9,0,0,0.4,0,0,0
1789298595633,13.9,1,0,0.3,0,0,1
1789298598224,16.5,20,11,3.5,0,0,11
1789298600903,19.2,20,57,6.9,0,0,1
1789298604595,22.9,19,28,15.5,0,0,15
1789298607270,25.6,20,5,7.8,0,0,14
1789298610105,28.4,19,0,4.7,0,0,0
1789298612124,30.4,4,0,0.2,0,0,0
1789298613736,32.1,0,0,0.0,0,0,0
1789298615256,33.6,0,0,0,0,0,0
1789298616913,35.2,0,0,0,0,0,0
