t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1.0,0,0,0,0,0,0
2.7,1,0,0.1,14,14,1
4.6,1,0,0.2,0,0,0
6.3,3,0,0.2,7,7,10
8.4,0,0,0.1,0,0,0
10.2,4,0,0.2,19,17,1
12.3,1,0,3.6,18,17,1
14.2,19,69,17.0,18,18,1
16.2,20,79,50.6,18,18,1
18.2,20,158,65.7,18,17,2
20.1,20,146,79.6,16,16,4
22.0,20,218,100.0,18,16,2
23.9,20,237,120.9,19,19,1
25.8,20,286,139.9,18,18,2
28.0,20,229,190.1,19,18,0
29.9,20,31,70.7,10,9,0
31.8,2,0,0.2,0,0,0
33.4,0,0,0.0,0,0,0
34.8,0,0,0,0,0,0
