bin_start_ms,t,count,p50_ms,p95_ms,max_ms,non2xx4xx
1789298582800,0.0,1,20.3,20.3,20.3,0
1789298582900,0.1,3,15.8,19.6,19.6,0
1789298583000,0.2,5,13.4,16.9,16.9,0
1789298583100,0.3,6,13.9,16.4,16.4,0
1789298583200,0.4,9,28.3,68.9,68.9,0
1789298583300,0.5,8,40.9,723.0,723.0,0
1789298583400,0.6,9,90.0,255.3,255.3,0
1789298583500,0.7,8,56.4,747.0,747.0,0
1789298583600,0.8,9,38.1,714.8,714.8,0
1789298583700,0.9,11,37.4,562.4,562.4,0
1789298583800,1.0,11,38.1,463.5,463.5,0
1789298583900,1.1,10,37.7,333.0,333.0,0
1789298584000,1.2,11,32.9,300.8,300.8,0
1789298584100,1.3,11,27.0,157.5,157.5,0
1789298584200,1.4,12,31.0,93.7,101.7,0
1789298584300,1.5,12,3.3,3.5,3.9,0
1789298584400,1.6,33,12.4,30.3,33.4,0
1789298584500,1.7,34,4.9,16.7,25.8,0
1789298584600,1.8,36,3.3,5.1,5.9,0
1789298584700,1.9,39,2.9,5.8,6.6,0
1789298584800,2.0,41,3.2,7.5,7.6,0
1789298584900,2.1,42,3.1,5.7,6.8,0
1789298585000,2.2,45,4.8,7.6,19.5,0
1789298585100,2.3,46,3.8,12.8,16.1,0
1789298585200,2.4,47,2.8,5.3,6.4,0
1789298585300,2.5,51,2.9,4.6,6.0,0
1789298585400,2.6,51,2.6,4.6,5.7,0
1789298585500,2.7,45,3.0,4.7,5.0,0
1789298585600,2.8,57,2.4,3.7,4.4,0
1789298585700,2.9,59,2.8,6.5,8.6,0
1789298585800,3.0,59,2.5,4.8,6.1,0
1789298585900,3.1,60,2.3,2.9,4.2,0
1789298586000,3.2,58,2.5,3.8,5.5,0
1789298586100,3.3,67,2.4,4.4,4.8,0
1789298586200,3.4,66,2.6,5.7,6.2,0
1789298586300,3.5,67,3.3,8.1,9.3,0
1789298586400,3.6,73,2.6,13.3,16.5,0
1789298586500,3.7,74,2.5,4.9,7.1,0
1789298586600,3.8,76,2.8,10.1,17.1,0
1789298586700,3.9,76,4.2,7.9,10.4,0
1789298586800,4.0,81,3.0,5.7,7.1,0
1789298586900,4.1,81,2.9,5.5,9.7,0
1789298587000,4.2,82,2.1,3.9,5.0,0
1789298587100,4.3,84,2.5,10.7,13.6,0
1789298587200,4.4,87,2.2,3.9,4.1,0
1789298587300,4.5,87,2.6,7.3,8.8,0
1789298587400,4.6,91,2.3,3.8,8.8,0
1789298587500,4.7,95,3.6,15.4,20.2,0
1789298587600,4.8,59,2.5,10.2,12.0,0
1789298587700,4.9,99,3.9,11.9,18.4,0
1789298587800,5.0,101,2.9,7.6,13.2,0
1789298587900,5.1,103,2.4,5.0,6.5,0
