t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1.0,0,0,0,0,0,0
2.6,8,4,88.4,18,17,1
4.9,20,27,214.1,0,0,1
6.8,13,0,11.4,0,0,15
10.0,16,0,5.7,0,0,11
13.3,13,81,19.9,0,0,12
16.6,19,107,33.0,0,0,10
20.5,18,72,46.0,0,0,12
24.0,16,81,64.9,0,0,16
27.4,20,115,36.5,0,0,12
30.8,0,0,11.2,0,0,1
32.4,0,0,0.0,0,0,0
34.0,0,0,0,0,0,0
35.6,0,0,0,0,0,0
