t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1.0,0,0,0,0,0,0
2.6,2,0,0.1,11,9,0
4.1,1,0,0.1,0,0,0
5.7,0,0,0.0,0,0,1
7.4,1,0,0.0,1,0,3
9.2,0,0,0.0,0,0,0
10.9,0,0,0.1,0,0,0
12.6,10,0,0.1,0,0,0
14.4,1,0,0.4,0,0,0
16.3,4,0,0.1,0,0,0
18.2,13,0,1.2,0,0,15
20.6,0,0,5.7,0,0,0
23.0,19,8,4.1,0,0,11
25.3,12,0,3.5,2,0,5
27.7,11,0,6.0,1,0,10
29.8,2,0,0.5,0,0,0
31.5,0,0,0.0,0,0,0
33.1,0,0,0.0,0,0,0
34.5,0,0,0,0,0,0
