ts,t,java,k6,postgres,other,total,ncpu
1789298606775,25.3,3.76,2.13,1.58,0.40,7.86,8
1789298606978,25.5,3.25,2.96,1.33,0.05,7.59,8
1789298607189,25.7,3.59,2.08,1.23,0.24,7.14,8
1789298607391,25.9,3.22,2.03,1.34,0.10,6.69,8
1789298607593,26.1,3.42,2.08,1.49,1.09,8.07,8
1789298607796,26.3,3.60,2.02,1.23,0.44,7.30,8
1789298607999,26.5,2.91,2.86,1.23,0.59,7.59,8
1789298608207,26.7,3.42,1.78,1.06,1.54,7.80,8
1789298608409,26.9,2.82,2.08,1.24,1.39,7.52,8
1789298608610,27.1,3.02,2.03,1.09,0.35,6.49,8
1789298608812,27.3,3.17,1.98,1.39,1.14,7.67,8
1789298609014,27.5,3.22,2.52,1.34,0.94,8.02,8
1789298609222,27.7,2.94,2.22,0.92,1.01,7.09,8
1789298609424,27.9,3.06,1.33,1.19,0.44,6.03,8
1789298609626,28.1,3.27,1.39,1.09,0.05,5.79,8
1789298609838,28.3,2.70,2.60,1.32,0.05,6.67,8
1789298610040,28.5,3.31,2.03,1.19,0.00,6.53,8
1789298610246,28.7,2.67,1.36,0.82,0.92,5.77,8
1789298610448,28.9,2.37,1.83,0.99,1.38,6.57,8
1789298610650,29.1,2.33,0.99,0.89,1.93,6.14,8
1789298610852,29.3,2.13,1.78,0.74,1.24,5.90,8
1789298611055,29.6,2.61,1.82,0.99,0.84,6.26,8
1789298611279,29.8,1.92,0.80,0.58,0.00,3.21,8
1789298611481,30.0,1.63,0.74,0.54,0.00,2.87,8
1789298611683,30.2,1.64,0.84,0.55,0.00,3.03,8
1789298611885,30.4,1.53,0.99,0.45,0.00,2.97,8
1789298612086,30.6,1.29,0.65,0.35,0.00,2.23,8
1789298612292,30.8,1.02,1.17,0.29,1.27,3.75,8
1789298612494,31.0,0.79,0.40,0.20,1.73,3.11,8
1789298612696,31.2,0.49,0.45,0.10,2.03,3.07,8
1789298612898,31.4,0.15,0.35,0.05,0.74,1.29,8
1789298613100,31.6,0.25,0.00,0.00,0.40,0.64,8
1789298613304,31.8,0.00,0.00,0.00,1.23,1.23,8
1789298613505,32.0,0.00,0.00,0.00,1.09,1.09,8
1789298613706,32.2,0.00,0.00,0.00,1.29,1.29,8
1789298613908,32.4,0.05,0.00,0.00,2.83,2.88,8
1789298614110,32.6,0.00,0.00,0.00,2.57,2.57,8
1789298614314,32.8,0.00,0.00,0.00,2.78,2.78,8
1789298614516,33.0,0.05,0.00,0.00,1.39,1.44,8
1789298614717,33.2,0.00,0.00,0.00,1.39,1.39,8
1789298614919,33.4,0.00,0.00,0.00,2.48,2.48,8
1789298615120,33.6,0.00,0.00,0.00,3.52,3.52,8
1789298615326,33.8,0.05,0.00,0.00,1.99,2.04,8
1789298615528,34.0,0.05,0.00,0.00,3.82,3.87,8
1789298615730,34.2,0.00,0.00,0.00,3.32,3.32,8
1789298615933,34.4,0.00,0.00,0.00,3.45,3.45,8
1789298616134,34.6,0.00,0.00,0.00,1.79,1.79,8
1789298616338,34.8,0.00,0.00,0.00,1.03,1.03,8
1789298616539,35.0,0.05,0.00,0.00,1.99,2.04,8
1789298616741,35.2,0.00,0.00,0.00,1.09,1.09,8
1789298616942,35.4,0.00,0.00,0.00,1.64,1.64,8
1789298617144,35.6,0.05,0.00,0.00,3.37,3.42,8
1789298617349,35.8,0.00,0.00,0.00,2.93,2.93,8
1789298617550,36.0,0.00,0.00,0.00,2.63,2.63,8
1789298617751,36.2,0.00,0.00,0.00,1.39,1.39,8
1789298617952,36.4,0.00,0.00,0.00,1.79,1.79,8
1789298618154,36.7,0.00,0.00,0.00,2.18,2.18,8
1789298618359,36.9,0.05,0.00,0.00,1.81,1.86,8
1789298618561,37.1,0.00,0.00,0.00,1.78,1.78,8
1789298618762,37.3,0.00,0.00,0.00,0.35,0.35,8
1789298618964,37.5,0.00,0.00,0.00,0.25,0.25,8
1789298619165,37.7,0.00,0.00,0.00,3.18,3.18,8
1789298619370,37.9,0.00,0.00,0.00,0.73,0.73,8
1789298619572,38.1,0.00,0.00,0.00,0.20,0.20,8
1789298619773,38.3,0.00,0.00,0.00,0.20,0.20,8
1789298619974,38.5,0.05,0.00,0.00,0.20,0.25,8
1789298620176,38.7,0.00,0.00,0.05,0.20,0.25,8
1789298620379,38.9,0.00,0.00,0.00,0.30,0.30,8
1789298620580,39.1,0.00,0.00,0.00,0.30,0.30,8
1789298620782,39.3,0.00,0.00,0.00,0.25,0.25,8
1789298620983,39.5,0.00,0.00,0.00,0.20,0.20,8
1789298621184,39.7,0.00,0.00,0.00,0.45,0.45,8
1789298621388,39.9,0.00,0.00,0.00,1.08,1.08,8
