ts,t,java,k6,postgres,other,total,ncpu
1789298581704,0.2,0.00,0.00,0.00,5.44,5.44,8
1789298581905,0.4,0.00,0.00,0.00,2.58,2.58,8
1789298582107,0.6,0.00,0.00,0.00,4.41,4.41,8
1789298582309,0.8,0.00,0.00,0.00,2.18,2.18,8
1789298582511,1.0,0.05,0.00,0.00,1.94,1.99,8
1789298582716,1.2,0.05,0.00,0.00,3.66,3.71,8
1789298582927,1.4,0.57,0.00,0.00,4.01,4.58,8
1789298583133,1.6,1.70,0.00,0.10,1.95,3.75,8
1789298583335,1.8,3.01,0.00,0.15,2.57,5.73,8
1789298583537,2.0,4.26,0.00,0.45,0.69,5.40,8
1789298583743,2.2,3.90,0.19,0.29,0.15,4.53,8
1789298583944,2.4,4.02,0.20,0.25,0.00,4.12,8
1789298584147,2.6,3.94,0.10,0.34,0.54,4.93,8
1789298584349,2.8,3.91,0.25,0.30,0.84,5.30,8
1789298584551,3.0,4.26,0.45,0.30,1.44,6.44,8
1789298584757,3.3,2.47,0.39,0.19,1.26,4.31,8
1789298584959,3.5,1.39,0.35,0.20,1.59,3.52,8
1789298585162,3.7,3.26,0.44,0.20,1.93,5.83,8
1789298585364,3.9,3.01,0.44,0.20,0.84,4.49,8
1789298585566,4.1,2.58,0.50,0.40,0.00,3.37,8
1789298585771,4.3,1.80,0.63,0.19,0.68,3.31,8
1789298585973,4.5,1.68,0.54,0.40,0.00,2.27,8
1789298586175,4.7,2.23,0.59,0.35,0.00,2.92,8
1789298586377,4.9,2.43,0.50,0.25,1.04,4.22,8
1789298586580,5.1,1.87,1.18,0.39,0.74,4.19,8
1789298586786,5.3,2.72,0.78,0.39,1.31,5.20,8
1789298586988,5.5,1.97,0.54,0.35,1.43,4.30,8
1789298587190,5.7,1.89,0.65,0.30,0.35,3.18,8
1789298587391,5.9,1.74,0.64,0.30,0.59,3.27,8
1789298587594,6.1,1.83,0.69,0.64,0.54,3.71,8
1789298587800,6.3,1.79,1.84,0.44,0.29,4.35,8
1789298588002,6.5,2.04,0.74,0.60,0.00,3.13,8
1789298588203,6.7,2.03,0.69,0.40,1.88,5.01,8
1789298588405,6.9,2.33,0.74,0.50,0.79,4.36,8
1789298588608,7.1,1.68,0.69,0.54,0.99,3.90,8
1789298588813,7.3,2.38,1.80,0.54,1.75,6.47,8
1789298589016,7.5,2.71,0.79,0.49,0.00,3.90,8
1789298589217,7.7,2.38,0.70,0.35,0.20,3.63,8
1789298589420,7.9,1.92,0.79,0.69,0.25,3.64,8
1789298589622,8.1,2.13,0.79,0.59,0.00,3.52,8
1789298589827,8.3,2.09,1.80,0.49,1.22,5.60,8
1789298590029,8.5,3.27,0.94,0.64,1.24,6.09,8
1789298590231,8.7,2.52,0.74,0.64,0.94,4.85,8
1789298590434,8.9,3.02,0.84,0.49,1.58,5.93,8
1789298590636,9.1,2.82,0.84,0.69,0.84,5.20,8
1789298590841,9.3,2.88,2.05,0.63,0.00,5.22,8
1789298591043,9.5,2.92,0.94,0.74,0.59,5.20,8
1789298591245,9.7,3.32,0.99,0.64,0.35,5.29,8
1789298591448,9.9,3.00,0.98,0.79,0.00,4.53,8
1789298591650,10.1,2.92,0.94,0.54,0.50,4.90,8
1789298591855,10.4,2.68,2.05,0.58,1.51,6.82,8
1789298592057,10.6,3.11,1.04,0.94,1.04,6.13,8
1789298592259,10.8,2.62,0.99,1.04,1.09,5.74,8
1789298592462,11.0,2.37,0.94,0.69,1.29,5.29,8
1789298592665,11.2,2.46,0.98,0.64,0.39,4.48,8
1789298592873,11.4,3.46,2.17,0.53,0.29,6.45,8
1789298593074,11.6,2.28,0.94,0.79,0.55,4.56,8
1789298593276,11.8,2.53,1.04,0.94,0.00,3.92,8
1789298593477,12.0,2.43,0.99,0.65,0.00,3.97,8
1789298593679,12.2,2.87,1.19,0.89,1.14,6.09,8
1789298593888,12.4,2.38,2.24,0.86,1.05,6.53,8
1789298594090,12.6,2.57,1.14,0.89,0.79,5.40,8
1789298594292,12.8,2.82,1.24,0.89,1.88,6.83,8
1789298594494,13.0,2.52,1.04,0.84,1.73,6.14,8
1789298594698,13.2,2.80,1.92,1.08,0.93,6.74,8
1789298594923,13.4,2.53,1.95,0.75,1.07,6.30,8
1789298595125,13.6,2.72,1.14,0.94,0.25,5.05,8
1789298595327,13.8,3.02,1.14,0.89,0.00,4.51,8
1789298595529,14.0,3.81,2.03,1.09,0.40,7.32,8
1789298595731,14.2,2.82,1.49,0.79,1.09,6.20,8
1789298595937,14.4,2.91,1.65,0.83,1.41,6.80,8
1789298596139,14.6,2.92,1.98,1.14,1.49,7.53,8
1789298596341,14.8,2.82,1.14,1.09,2.12,7.17,8
1789298596549,15.0,3.03,1.15,0.87,2.41,7.46,8
1789298596754,15.3,3.07,1.42,1.22,1.95,7.66,8
1789298596961,15.5,2.32,2.32,0.72,1.88,7.24,8
1789298597163,15.7,2.67,1.49,0.94,2.52,7.62,8
1789298597367,15.9,2.94,1.23,0.93,2.01,7.11,8
1789298597570,16.1,3.15,1.33,1.43,1.82,7.73,8
1789298597772,16.3,3.12,1.93,1.19,1.73,7.97,8
1789298597979,16.5,3.96,1.93,0.92,0.63,7.44,8
1789298598181,16.7,2.97,1.64,0.84,1.88,7.34,8
1789298598383,16.9,2.53,1.84,0.84,1.79,6.99,8
1789298598595,17.1,3.10,1.55,0.85,1.50,7.01,8
1789298598797,17.3,2.67,1.59,0.94,2.53,7.73,8
1789298599009,17.5,2.93,1.75,0.94,1.32,6.94,8
1789298599211,17.7,2.82,2.18,1.09,1.19,7.27,8
1789298599414,17.9,3.21,1.33,1.09,1.48,7.11,8
1789298599616,18.1,3.12,1.29,0.99,1.29,6.68,8
1789298599820,18.3,2.93,2.05,1.27,1.52,7.77,8
1789298600028,18.5,2.88,2.26,1.25,0.53,6.92,8
1789298600230,18.7,3.96,1.29,0.99,0.35,6.58,8
1789298600433,18.9,3.11,2.03,1.19,0.40,6.72,8
1789298600635,19.1,3.47,1.68,1.34,0.40,6.88,8
1789298600837,19.3,3.41,1.98,1.29,0.00,6.23,8
1789298601046,19.5,2.73,2.49,1.10,1.58,7.89,8
1789298601248,19.7,2.87,1.54,1.19,1.93,7.53,8
1789298601450,19.9,3.16,1.43,1.28,1.88,7.76,8
1789298601653,20.2,2.91,1.78,1.04,2.42,8.14,8
1789298601856,20.4,2.72,2.17,1.09,1.63,7.60,8
1789298602066,20.6,2.81,1.48,0.86,2.38,7.52,8
1789298602268,20.8,3.06,1.83,1.18,1.48,7.55,8
1789298602473,21.0,2.94,1.81,0.69,1.96,7.39,8
1789298602676,21.2,3.05,1.28,0.88,3.44,8.64,8
1789298602903,21.4,2.39,1.41,0.84,2.83,7.47,8
1789298603117,21.6,3.12,2.10,0.84,1.07,7.13,8
1789298603319,21.8,3.06,1.63,1.04,1.93,7.66,8
1789298603523,22.0,3.49,1.28,1.43,1.28,7.48,8
1789298603726,22.2,3.45,1.87,1.23,0.99,7.54,8
1789298603928,22.4,3.12,2.67,1.14,0.59,7.52,8
1789298604131,22.6,3.64,1.77,1.28,0.00,6.69,8
1789298604333,22.8,3.86,1.68,1.44,0.59,7.58,8
1789298604536,23.0,3.70,1.97,0.99,0.84,7.49,8
1789298604738,23.2,3.56,1.83,1.53,0.59,7.52,8
1789298604940,23.4,3.17,2.67,1.19,1.09,8.11,8
1789298605147,23.6,3.29,2.13,1.16,0.77,7.36,8
1789298605349,23.8,2.97,2.57,1.09,0.89,7.52,8
1789298605552,24.0,3.55,1.48,1.53,0.94,7.50,8
1789298605755,24.3,3.39,1.77,1.13,1.62,7.91,8
1789298605958,24.5,2.96,2.52,1.28,0.94,7.69,8
1789298606165,24.7,3.24,1.88,1.01,1.45,7.58,8
1789298606367,24.9,3.56,2.37,1.29,0.20,7.42,8
1789298606573,25.1,3.65,2.14,1.51,0.00,7.20,8
