t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1.0,0,0,0,0,0,0
2.7,3,0,0.1,20,19,0
4.7,0,0,1.2,0,0,9
7.0,0,0,0.7,0,0,0
8.9,0,0,0.0,0,0,0
10.7,0,0,0.0,0,0,1
12.9,4,0,0.6,3,0,4
14.7,9,0,0.3,0,0,5
16.7,1,0,2.0,0,0,0
19.2,20,172,11.5,2,0,9
22.0,0,0,3.3,0,0,0
24.5,7,0,3.8,1,0,9
26.8,5,0,2.7,1,0,7
29.0,19,0,2.0,2,0,0
30.8,3,0,0.1,0,0,1
32.7,0,0,0.0,0,0,0
34.2,0,0,0,0,0,0
35.7,0,0,0,0,0,0
