t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1.0,0,0,0,0,0,0
2.8,1,0,0.2,16,16,1
5.0,4,0,0.6,0,0,0
6.9,1,0,0.0,0,0,0
8.9,2,0,0.0,0,0,0
11.1,0,0,3.9,0,0,2
13.4,12,0,1.4,3,0,2
15.7,17,0,1.4,1,0,7
18.1,20,73,6.0,0,0,0
21.2,16,88,12.3,0,0,17
24.1,1,0,13.9,2,0,13
27.5,16,49,25.8,2,0,9
30.3,2,0,10.1,0,0,2
32.6,0,0,0.1,0,0,0
34.3,0,0,0,0,0,0
